Anno_Simulato;Nazione;Alt_Media_LC;Epoca_Inizio;Epoca_Fine;Var_Guida;Tipo_Cointegrazione;Lag_VECM;Alpha_S2;k1_L1;k2_OLS;R2_OLS;IoU_Geom;Max_CUSUM;Picco_IRF;Half_Life;EWS_AR1;Forecast_S2_1Y;Forecast_S2_3Y;Forecast_S2_5Y;CL_Max;CL_Max_Anno;CL_Min;CL_Min_Anno;CL_Media;CL_Mediana;LC_Max;LC_Max_Anno;LC_Min;LC_Min_Anno;LC_Media;LC_Mediana;S1A_Max;S1A_Max_Anno;S1A_Min;S1A_Min_Anno;S1A_Media;S1A_Mediana;S1B_Max;S1B_Max_Anno;S1B_Min;S1B_Min_Anno;S1B_Media;S1B_Mediana;N_Max;N_Max_Anno;N_Min;N_Min_Anno;N_Media;N_Mediana;S2_Max;S2_Max_Anno;S2_Min;S2_Min_Anno;S2_Media;S2_Mediana
2006;IT;0,837779093;1960;1976;S1A;Trivariata_CO2;1;-0,182024639;-1,753417969;-1,524149351;0,757246813;1,625052645;4,865230885;0,987904652;10;1,177630658;0,538369496;0,555806047;0,579798319;1,422895926;1960;0,990316074;1975;1,206394601;1,199483537;1,009778621;1975;0,702792089;1960;0,837779093;0,833692142;0,152746442;1960;0;1975;0,08558133;0,087614863;0,217342289;1960;0;1975;0,108564931;0,105092586;2,7;1964;1,19;1995;1,778297872;1,54;0,764705882;1995;-0,222222222;1964;0,284832796;0,363636364
2007;IT;0,836442702;1977;1999;S1A;Trivariata_CO2;1;-0,256675291;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,495331729;0,467812895;0,443854712;1,422895926;1960;0,990316074;1975;1,208190625;1,201965629;1,009778621;1975;0,702792089;1960;0,836442702;0,831974093;0,152746442;1960;0;1975;0,086246275;0,088469708;0,217342289;1960;0;1975;0,109467312;0,10633967;2,7;1964;1,19;1995;1,770208333;1,51;0,764705882;1995;-0,222222222;1964;0,289540266;0,391277641
2008;IT;0,835505739;1977;1999;S1A;Trivariata_CO2;1;-0,283037404;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,443257073;0,416261633;0,392546406;1,422895926;1960;0,990316074;1975;1,209349422;1,204447721;1,009778621;1975;0,702792089;1960;0,835505739;0,830256044;0,152746442;1960;0;1975;0,086712477;0,089324553;0,217342289;1960;0;1975;0,110049529;0,107586754;2,7;1964;1,19;1995;1,763469388;1,48;0,764705882;1995;-0,222222222;1964;0,292985022;0,418918919
2009;IT;0,835346887;1977;1999;S1A;Trivariata_CO2;1;-0,313567473;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,469148416;0,486230041;0,498799689;1,422895926;1960;0,990316074;1975;1,209329774;1,206407383;1,009778621;1975;0,702792089;1960;0,835346887;0,828909581;0,152746442;1960;0;1975;0,086791517;0,089994509;0,217342289;1960;0;1975;0,110039658;0,108571353;2,7;1964;1,19;1995;1,757;1,465;0,764705882;1995;-0,222222222;1964;0,296291988;0,43359739
2010;IT;0,835111073;1977;1999;S1A;Trivariata_CO2;1;-0,315470871;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,465769087;0,477420065;0,485877675;1,422895926;1960;0,990316074;1975;1,209432995;1,208367045;1,009778621;1975;0,702792089;1960;0,835111073;0,827563118;0,152746442;1960;0;1975;0,08690885;0,090664465;0,217342289;1960;0;1975;0,110091519;0,109555951;2,7;1964;1,19;1995;1,750784314;1,45;0,764705882;1995;-0,222222222;1964;0,29946927;0,448275862
2011;IT;0,834621649;1977;1999;S1A;Trivariata_CO2;1;-0,309608483;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,480416265;0,482694017;0,484167999;1,422895926;1960;0,990316074;1975;1,209926298;1,211480533;1,009778621;1975;0,702792089;1960;0,834621649;0,825441745;0,152746442;1960;0;1975;0,087152371;0,091719991;0,217342289;1960;0;1975;0,110339371;0,11112027;2,7;1964;1,19;1995;1,744423077;1,445;0,764705882;1995;-0,222222222;1964;0,302919346;0,453304598
2012;IT;0,834485031;1977;1999;S1A;Trivariata_CO2;1;-0,317309402;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,49262668;0,514670313;0,531334562;1,422895926;1960;0,990316074;1975;1,209901899;1,208633145;1,009778621;1975;0,702792089;1960;0,834485031;0,827380917;0,152746442;1960;0;1975;0,087220348;0,090755122;0,217342289;1960;0;1975;0,110327112;0,109689649;2,7;1964;1,19;1995;1,738301887;1,44;0,764705882;1995;-0,222222222;1964;0,306239231;0,458333333
2013;IT;0,834174425;1977;1999;S1A;Trivariata_CO2;1;-0,316427416;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,523039235;0,543006674;0,558513904;1,422895926;1960;0,990316074;1975;1,210143049;1,211613583;1,009778621;1975;0,702792089;1960;0,834174425;0,825350644;0,152746442;1960;0;1975;0,087374895;0,09176532;0,217342289;1960;0;1975;0,110448274;0,111187118;2,7;1964;1,19;1995;1,731851852;1,44;0,764705882;1995;-0,222222222;1964;0,310027233;0,458333333
2014;IT;0,833793247;1977;1999;S1A;Trivariata_CO2;1;-0,316449082;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,532426737;0,550007407;0,563850618;1,422895926;1960;0,990316074;1975;1,210498543;1,214594021;1,009778621;1975;0,702792089;1960;0,833793247;0,823320371;0,152746442;1960;0;1975;0,087564557;0,092775517;0,217342289;1960;0;1975;0,110626886;0,112684588;2,7;1964;1,19;1995;1,725454545;1,44;0,764705882;1995;-0,222222222;1964;0,313876541;0,458333333
2015;IT;0,833537006;1977;1999;S1A;Trivariata_CO2;1;-0,317030652;5,648046875;5,864343782;0,986088582;0,906930263;9,035908866;6,058563138;10;0,320489845;0,562776715;0,59331064;0,617169336;1,422895926;1960;0,990316074;1975;1,210674284;1,216887717;1,009778621;1975;0,702792089;1960;0,833537006;0,821771425;0,152746442;1960;0;1975;0,087692054;0,093546222;0,217342289;1960;0;1975;0,110715184;0,113837016;2,7;1964;1,19;1995;1,718928571;1,44;0,764705882;1995;-0,222222222;1964;0,317987989;0,458333333
