https://gml.noaa.gov/webdata/ccgg/trends/co2/co2_annmean_mlo.csv (qui sotto DAL 1960)
316.91	317.64	318.45	318.99	319.62	320.04	321.37	322.18	323.05	324.62	325.68	326.32	327.46	329.68	330.19	331.13	332.03	333.84	335.41	336.84	338.76	340.12	341.48	343.15	344.87	346.35	347.61	349.31	351.69	353.20	354.45	355.70	356.54	357.21	358.96	360.97	362.74	363.88	366.84	368.54	369.71	371.32	373.45	375.98	377.70	379.98	382.09	384.02	385.83	387.64	390.10	391.85	394.06	396.74	398.81	401.01	404.41	406.76	408.72	411.65	414.21	416.41	418.53	421.08	424.61	427.35

TFR in https://api.worldbank.org/v2/en/indicator/SP.DYN.TFRT.IN?downloadformat=csv
TFT Italia in https://demo.istat.it/app/?i=FE1&l=it , poi cliccando su "Cerca" in basso a sinistra
2,41	2,41	2,46	2,55	2,70	2,66	2,62	2,53	2,49	2,51	2,42	2,41	2,36	2,34	2,33	2,20	2,11	1,97	1,87	1,76	1,68	1,60	1,60	1,54	1,48	1,45	1,37	1,35	1,38	1,35	1,36	1,32	1,32	1,26	1,22	1,19	1,22	1,23	1,21	1,23	1,26	1,25	1,27	1,29	1,34	1,33	1,37	1,39	1,44	1,44	1,44	1,42	1,42	1,39	1,38	1,36	1,36	1,34	1,31	1,27	1,24	1,25	1,24	1,20	1,18	1,14	

POPOLAZIONE ITA https://seriestoriche.istat.it/fileadmin/documenti/Tavola_2.3.xls (fino al 2011); poi bisogna cercare altrove e non è semplice. Comunque.
POPOLAZIONE		50025500	50373900	50698800	51060100	51443900	51906800	52317900	52720100	53080900	53390600	53685300	53958400	54188579	54574111	54928700	55293036	55588966	55847553	56063269	56247017	56388480	56479285	56524064	56563031	56565117	56588319	56597823	56594487	56609375	56649201	56694360	56744119	56772923	56821250	56842392	56844408	56844197	56876364	56904379	56909109	56923524	56960692	56987507	57130506	57495900	57874753	58064214	58223744	58652875	59000586	59190143	59364690	59394207	59685227	60782668	60.782.668	60.795.612	60.665.551	60.589.445	60.483.973	59.816.673	59.641.488	59.236.213	59.030.133	58.997.201	58.971.230								



https://db.nomics.world/AMECO/UOGD?dimensions=%7B%22geo%22%3A%5B%22kor%22%2C%22jpn%22%2C%22usa%22%2C%22gbr%22%2C%22fra%22%2C%22ita%22%2C%22esp%22%2C%22deu%22%5D%7D&tab=table 

Series code		1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027
[DEU.1.0.0.0.UOGD] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	603.998	634.5	648.771	692.938	717.202	735.83	763.551	790.522	795.641	798.219	842.341	859.088	863.698	911.077	942.433	1013.066	1069.21	1063.819	968.29	1046.061	1099.202	1091.092	1107.815	1156.053	1184.283	1220.76	1271.446	1278.667	1290.878	1277.168	1413.351	1528.81	1639.232	1586.802	1607.64922	1690.82024	1749.33285
[ESP.1.0.0.0.UOGD] 	2.36863	2.73025	3.16274	3.62503	4.01886	4.57703	5.13826	5.70829	6.64268	7.53221	8.14742	9.05476	10.23017	12.08275	14.92579	16.94945	19.9817	25.37907	31.7133	36.98264	43.22401	47.32199	55.41107	62.45591	74.19769	83.48124	96.68727	108.30432	121.56028	133.87779	143.42768	152.58822	159.15828	168.68158	184.11389	203.286	216.38	222.697	234.575	248.897	270.35	299.403	322.291	346.292	367.73	394.545	425.106	462.068	479.591	472.637	459.052	466.833	460.791	457.563	459.281	477.904	500.166	521.853	535.316	540.378	465.129	504.308	587.185	641.853	675.128	700.56124	725.89942	760.61816
[FRA.1.0.0.0.UOGD] 	18.90235	19.84697	22.01317	23.87868	26.07159	28.36044	30.94109	33.80068	36.3111	41.86905	46.68613	51.5042	57.22238	65.54001	75.76963	78.58965	88.30195	100.0954	111.9561	126.8734	143.0202	159.9522	182.1197	206.4686	229.3702	249.8591	283.0414	298.317	330.4005	363.4593	378.8909	390.1398	405.9402	406.3245	418.2349	428.2466	433.2713	451.87	477.5762	488.945	523.8524	547.0203	558.1873	572.9609	602.6232	623.7478	660.3396	707.6697	727.8318	678.8013	710.4228	725.9391	719.868	734.9221	747.7958	769.1916	767.9596	778.7458	793.1855	824.3397	806.2017	886.0369	908.333	1002.5463	1026.9203	1040.33259	1068.80975	1111.88551
[GBR.1.0.0.0.UOGD] 	9.15218	9.47897	9.89869	10.17646	11.14866	12.0361	12.58552	13.42598	15.19882	17.00842	19.42872	22.58633	26.30766	31.18602	32.79445	37.74839	46.59011	59.338	70.70623	83.95043	96.11725	109.62391	126.71812	146.12539	158.60572	178.3939	190.01335	217.94678	245.59734	271.07168	292.56735	300.73405	311.43644	337.99837	360.60411	377.70138	413.13976	416.135	431.048	428.628	442.035	450.515	476.25	507.068	521.287	556.066	582.453	596.617	633.122	611.149	622.21	642.972	673.413	697.492	750.273	768.038	798.97	843.34	869.968	896.342	897.168	956.318	1052.995	1141.384	1167.41	1236.53585	1280.99035	1325.0027

[ITA.1.0.0.0.UOGD] 	7.3565	8.14054	8.9144	9.63813	10.38489	11.38577	12.54929	13.61251	14.88377	16.60024	17.91826	18.64968	20.34152	24.86974	32.17664	36.58798	46.473	55.61329	66.90408	83.84374	105.54284	125.46556	148.76966	173.15082	203.07352	229.02483	258.31916	280.91492	310.06073	341.03729	366.80131	395.37515	415.64639	427.27694	464.72954	513.8847	541.3639	557.0593	566.9051	586.0251	629.7106	667.5879	685.3494	707.0019	735.5773	743.944	763.5659	794.8201	805.411	764.0703	777.5571	801.653	773.6578	775.473	782.0098	792.3852	827.5922	839.7632	850.33	855.6919	797.0807	882.7508	982.957	1067.9487	1062.5713	1071.54596	1095.13848	1122.67592

[JPN.1.0.0.0.UOGD] 	9839.64523	12167.59925	13181.36637	15153.84361	17776.23294	19175.39914	22423.76274	27179.01277	32430.97278	38208.36818	44458.53573	45299.95047	51937.91087	62140.21424	68299.41803	70170.15949	78946.96504	85823.10686	97452.10493	105340.817	114252.8713	121557.2042	126673.6761	130277.9517	138350.7305	153190.5417	161728.4963	166450.7632	182040.6718	198272.7791	212313.1019	223474.5509	223201.9771	221608.0778	220356.8	225709	234018.3	232255.7	227045.1	223681.1	231539.2	230900.8	233090.4	235932.7	239635.6	237361.5	235187.3	238131.7	227121.1	209255.2	221955.1	213580.9	215993	222352.7	223684.8	235964.1	235132.2	238562.3	232418.2	227680.2	211863.8	217435.2	218582.2	244228.4	249861.1491	262456.1345	270524.4897	278218.062
[KOR.1.0.0.0.UOGD] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1686.19347	2075.66041	2645.34718	3402.77163	4919.6044	6389.86821	8474.19505	10510.69994	13608.16289	17022.00248	20309.91791	25691.24425	29394.62588	33920.9	39905.2214	45497.15225	53629.49348	62781.8622	74208.1749	81562.62639	95887.90964	114018.901	130435.4024	148572.6586	175869.5926	202876.5669	220794.9698	254381.0118	268287.4875	296566.3376	325848.3	345811.4	384038.8	404896.8	447490	463929.5	479352.9	522131.4	553098.4	585582.8	656431.8	680106.7	703144.9	733086.9	753085.6	795737.3	838828.3	890704.8	911489.9	894219.8	881748.2	969641.5	1000003.7	1047885.1	NA	NA	NA	NA
[USA.1.0.0.0.UOGD] 	198.851	207.603	223.548	237.294	253.942	278.435	299.847	310.714	334.546	352.273	358.007	394.542	439.319	494.549	528.462	593.488	663.107	743.929	849.449	933.459	1000.163	1152.491	1216.049	1322.549	1511.397	1610.593	1657.459	1770.586	1939.797	2061.427	2127.113	2182.549	2280.321	2416.074	2625.06	2822.324	3049.508	3276.273	3440.41	3622.178	3829.369	3983.338	4148.778	4361.789	4694.285	5136.947	5588.552	5590.319	5512.805	5550.686	6039.292	6346.298	6754.162	6940.73	7309.801	7462.194	7527.53	7805.125	8231.614	8563.796	8826.194	10044.245	10886.319	11498.525	12092.147	12455.76725	13054.95677	13782.82645
