Anno_Target;Traccia_Johansen;Valore_Critico_95;Cointegrato;Lag_Ottimale;Alpha_OSR;Alpha_S1A;p_value_Alpha_S1A;Granger_p_value_OSR_S1A;IRF_Impatto_t1;IRF_Picco_Max
1990;31,98438423030634;15,4943;SI;1;-0,5472848412566982;-0,05332545939601278;1,935591889967725e-05;nan;-0,05332545939601278;-0,0756464283780366
1991;30,613577437904457;15,4943;SI;1;-0,5137668131481695;-0,05213525099106765;1,557182764488907e-05;nan;-0,05213525099106765;-0,07673433399294047
1992;30,59995743560337;15,4943;SI;1;-0,47819231476822216;-0,05075009086806658;1,0515386481335653e-05;nan;-0,05075009086806658;-0,07819756712911169
1993;30,666442571829265;15,4943;SI;1;-0,4527163594601102;-0,049695737235286405;6,56866453963012e-06;nan;-0,049695737235286405;-0,07923120410071889
1994;32,083185239371936;15,4943;SI;1;-0,45043254501102437;-0,05191474475551742;2,751006941359435e-06;nan;-0,05191474475551742;-0,08290012656919597
1995;31,357067542128515;15,4943;SI;1;-0,4633501496651135;-0,053540648257253846;2,4230137354308567e-06;nan;-0,053540648257253846;-0,08488967220548402
1996;32,62192639153008;15,4943;SI;1;-0,4557884466102847;-0,05323480591909228;1,7190228611685399e-06;nan;-0,05323480591909228;-0,08467307100442906
1997;33,3174335747576;15,4943;SI;1;-0,4456000821774272;-0,052951891980900126;1,1819009002600467e-06;nan;-0,052951891980900126;-0,08465894698473209
1998;33,73368115312796;15,4943;SI;1;-0,44611929674184114;-0,05320180170648125;8,134912414803352e-07;nan;-0,05320180170648125;-0,08514507681776855
1999;34,57475889819845;15,4943;SI;1;-0,4425348046549365;-0,05305789887178858;5,634475157556551e-07;nan;-0,05305789887178858;-0,08509925320591331
2000;34,66636266027926;15,4943;SI;1;-0,4488448619802428;-0,05343755050770462;4,849297983167133e-07;nan;-0,05343755050770462;-0,08552564153956568
2001;35,296316625267416;15,4943;SI;1;-0,4500963646731447;-0,05346281359349321;3,5973574230574457e-07;nan;-0,05346281359349321;-0,08554679341932665
2002;36,28186040506615;15,4943;SI;1;-0,44536170520851226;-0,053412534738476056;2,491565254114647e-07;nan;-0,053412534738476056;-0,08552886158614385
2003;37,11340500641287;15,4943;SI;1;-0,44224534002051313;-0,05331752692166412;1,7652661288281024e-07;nan;-0,05331752692166411;-0,08547547044047193
2004;37,88532732482351;15,4943;SI;1;-0,4415235604469393;-0,053314892934161515;1,242954650315653e-07;nan;-0,053314892934161515;-0,08552147626143039
2005;38,390339115232564;15,4943;SI;1;-0,4348017443918628;-0,05301957561332821;1,1358044593734462e-07;nan;-0,05301957561332821;-0,08530326798993561
2006;38,73943344735042;15,4943;SI;1;-0,4289890231853489;-0,05262904083949999;9,929131183916695e-08;nan;-0,05262904083949999;-0,08511230013438888
2007;39,56590378298136;15,4943;SI;1;-0,4258841303778907;-0,052448868339658464;7,132344204130447e-08;nan;-0,052448868339658464;-0,08513762820359311
2008;39,34166845139595;15,4943;SI;1;-0,41985078598241293;-0,051889969709987604;7,49707631531038e-08;nan;-0,0518899697099876;-0,08481117734480406
2009;36,54970758095797;15,4943;SI;2;-0,25847579349036176;-0,07365680938090645;6,097122806636435e-12;0,0004960589659790404;-0,033985913526320896;-0,10647899261483176
